Mirror-M1-vertical-adjuster-points_r1-1 ,,,,,,,,,,
Original half of reflector ,,,,,,Mirror adjuster ,,,,
Panel ,Adjuster ,x ,y ,z ,,Panel2,Adjuster2,X2,Y2,Z2
11321,V5 ,-1333.08123,2013.62628,-4215.07807,,11381,V5 ,-1333.08123,-2013.62628,-4215.07807
,,,,,,,,,,
11331,V1 ,-1549.14821,1122.44783,-4342.03497,,11371,V1 ,-1553.16584,-1562.3555,-4333.60799
11331,V2 ,-1553.16584,1562.3555,-4333.60799,,11371,V2 ,-1549.14821,-1122.44783,-4342.03497
11331,V3 ,-1097.78852,1122.44904,-4126.90482,,11371,V3 ,-1101.82726,-1562.35602,-4118.43439
11331,V4 ,-1101.82726,1562.35602,-4118.43439,,11371,V4 ,-1097.78852,-1122.44904,-4126.90482
11331,V5 ,-1325.1522,1342.41856,-4230.9386,,11371,V5 ,-1325.1522,-1342.41856,-4230.9386
,,,,,,,,,,
11341,V1 ,-1545.34499,451.21016,-4349.54477,,11361,V1 ,-1547.37253,-891.19195,-4345.29043
11341,V2 ,-1547.37253,891.19195,-4345.29043,,11361,V2 ,-1545.34499,-451.21016,-4349.54477
11341,V3 ,-1093.96893,451.21038,-4134.44892,,11361,V3 ,-1096.00586,-891.19213,-4130.17525
11341,V4 ,-1096.00586,891.19213,-4130.17525,,11361,V4 ,-1093.96893,-451.21038,-4134.44892
11341,V5 ,-1320.33597,671.20964,-4240.57235,,11361,V5 ,-1320.33597,-671.20964,-4240.57235
,,,,,,,,,,
11351,V1 ,,,--> ,,11351,V1 ,-1544.74918,-220.00357,-4350.63632
11351,V2 ,-1544.74918,220.00357,-4350.63632,,11351,V2 ,<-- ,,
11351,V3 ,,,--> ,,11351,V3 ,-1093.37104,-220.0036,-4135.54504
11351,V4 ,-1093.37104,220.0036,-4135.54504,,11351,V4 ,<-- ,,
11351,V5 ,-1318.72074,0,-4243.80294,,11351,V5 ,<-- ,,
,,,,,,,,,,
11411,V1 ,-888.41147,2464.98563,-3983.8343,,11491,V1 ,-896.36769,-2904.61791,-3967.5521
11411,V2 ,-896.36769,2904.61791,-3967.5521,,11491,V2 ,-888.41147,-2464.98563,-3983.8343
11411,V3 ,-439.15137,2464.98758,-3764.3546,,11491,V3 ,-447.12464,-2904.61855,-3748.0384
11411,V4 ,-447.12464,2904.61855,-3748.0384,,11491,V4 ,-439.15137,-2464.98758,-3764.3546
11411,V5 ,-667.44849,2684.83221,-3866.59035,,11491,V5 ,-667.44849,-2684.83221,-3866.59035
,,,,,,,,,,
11421,V1 ,-878.40663,1793.70853,-4003.80336,,11481,V1 ,-884.50164,-2233.49566,-3991.3265
11421,V2 ,-884.50164,2233.49566,-3991.3265,,11481,V2 ,-878.40663,-1793.70853,-4003.80336
11421,V3 ,-429.13616,1793.70894,-3784.34431,,11481,V3 ,-435.23679,-2233.4958,-3771.85646
11421,V4 ,-435.23679,2233.4958,-3771.85646,,11481,V4 ,-429.13616,-1793.70894,-3784.34431
11421,V5 ,-656.49008,2013.62609,-3888.50872,,11481,V5 ,-656.49008,-2013.62609,-3888.50872
,,,,,,,,,,
11431,V1 ,-871.4411,1122.44868,-4017.68916,,11471,V1 ,-875.56478,-1562.35516,-4009.247
11431,V2 ,-875.56478,1562.35516,-4009.247,,11471,V2 ,-871.4411,-1122.44868,-4017.68916
11431,V3 ,-422.16957,1122.44862,-3798.23184,,11471,V3 ,-426.29357,-1562.35511,-3789.78927
11431,V4 ,-426.29357,1562.35511,-3789.78927,,11471,V4 ,-422.16957,-1122.44862,-3798.23184
11431,V5 ,-648.52663,1342.41852,-3904.43665,,11471,V5 ,-648.52663,-1342.41852,-3904.43665
,,,,,,,,,,
11441,V1 ,-867.63708,451.21041,-4025.24957,,11461,V1 ,-869.71692,-891.19202,-4020.99161
11441,V2 ,-869.71692,891.19202,-4020.99161,,11461,V2 ,-867.63708,-451.21041,-4025.24957
11441,V3 ,-418.36699,451.21034,-3805.78893,,11461,V3 ,-420.44598,-891.19197,-3801.53285
11441,V4 ,-420.44598,891.19197,-3801.53285,,11461,V4 ,-418.36699,-451.21034,-3805.78893
11441,V5 ,-643.69497,671.20973,-3914.10063,,11461,V5 ,-643.69497,-671.20973,-3914.10063
,,,,,,,,,,
11451,V1 ,,,--> ,,11451,V1 ,-867.0592,-220.00362,-4026.35635
11451,V2 ,-867.0592,220.00362,-4026.35635,,11451,V2 ,<-- ,,
11451,V3 ,,,--> ,,11451,V3 ,-417.7895,-220.00362,-3806.89488
11451,V4 ,-417.7895,220.00362,-3806.89488,,11451,V4 ,<-- ,,
11451,V5 ,-642.07555,0,-3917.33964,,11451,V5 ,<-- ,,
,,,,,,,,,,
11511,V1 ,-213.88135,2464.98783,-3652.99878,,11591,V1 ,-222.00148,-2904.61893,-3636.75778
11511,V2 ,-222.00148,2904.61893,-3636.75778,,11591,V2 ,-213.88135,-2464.98783,-3652.99878
11511,V3 ,233.31485,2464.98558,-3429.34377,,11591,V3 ,225.21323,-2904.61825,-3413.14061
11511,V4 ,225.21323,2904.61825,-3413.14061,,11591,V4 ,233.31485,-2464.98558,-3429.34377
11511,V5 ,5.98389,2684.83253,-3533.70518,,11591,V5 ,5.98389,-2684.83253,-3533.70518
,,,,,,,,,,
11521,V1 ,-203.88763,1793.70966,-3672.98433,,11581,V1 ,-210.10033,-2233.49699,-3660.56222
11521,V2 ,-210.10033,2233.49699,-3660.56222,,11581,V2 ,-203.88763,-1793.70966,-3672.98433
11521,V3 ,243.27782,1793.70778,-3449.26704,,11581,V3 ,237.0851,-2233.49631,-3436.88565
11521,V4 ,237.0851,2233.49631,-3436.88565,,11581,V4 ,243.27782,-1793.70778,-3449.26704
11521,V5 ,16.92989,2013.62649,-3555.59662,,11581,V5 ,16.92989,-2013.62649,-3555.59662
,,,,,,,,,,
11531,V1 ,-196.94585,1122.44906,-3686.86692,,11571,V1 ,-201.14552,-1562.35596,-3678.47265
11531,V2 ,-201.14552,1562.35596,-3678.47265,,11571,V2 ,-196.94585,-1122.44906,-3686.86692
11531,V3 ,250.19328,1122.44801,-3463.09662,,11571,V3 ,246.00985,-1562.35547,-3454.7354
11531,V4 ,246.00985,1562.35547,-3454.7354,,11571,V4 ,250.19328,-1122.44801,-3463.09662
11531,V5 ,24.87351,1342.41866,-3571.48333,,11571,V5 ,24.87351,-1342.41866,-3571.48333
,,,,,,,,,,
11541,V1 ,-193.16744,451.2104,-3694.42425,,11561,V1 ,-195.28458,-891.19218,-3690.19369
11541,V2 ,-195.28458,891.19218,-3690.19369,,11561,V2 ,-193.16744,-451.2104,-3694.42425
11541,V3 ,253.95567,451.21011,-3470.62188,,11561,V3 ,251.84753,-891.19194,-3466.40962
11541,V4 ,251.84753,891.19194,-3466.40962,,11561,V4 ,253.95567,-451.21011,-3470.62188
11541,V5 ,29.68891,671.20963,-3581.11376,,11561,V5 ,29.68891,-671.20963,-3581.11376
,,,,,,,,,,
11551,V1 ,,,--> ,,11551,V1 ,-192.61105,-220.00359,-3695.53874
11551,V2 ,-192.61105,220.00359,-3695.53874,,11551,V2 ,<-- ,,
11551,V3 ,,,--> ,,11551,V3 ,254.50952,-220.00356,-3471.7315
11551,V4 ,254.50952,220.00356,-3471.7315,,11551,V4 ,<-- ,,
11551,V5 ,31.30216,0,-3584.34014,,11551,V5 ,<-- ,,
,,,,,,,,,,
11611,V1 ,457.54027,2464.9879,-3315.90147,,11691,V1 ,449.3102,-2904.62262,-3299.80592
11611,V2 ,449.3102,2904.62262,-3299.80592,,11691,V2 ,457.54027,-2464.9879,-3315.90147
11611,V3 ,902.6582,2464.98237,-3088.13796,,11691,V3 ,894.47565,-2904.62093,-3072.13666
11611,V4 ,894.47565,2904.62093,-3072.13666,,11691,V4 ,902.6582,-2464.98237,-3088.13796
11611,V5 ,676.32141,2684.83293,-3194.63115,,11691,V5 ,676.32141,-2684.83293,-3194.63115
,,,,,,,,,,
11621,V1 ,467.46369,1793.70902,-3335.78396,,11681,V1 ,461.17315,-2233.49906,-3323.49116
11621,V2 ,461.17315,2233.49906,-3323.49116,,11681,V2 ,467.46369,-1793.70902,-3335.78396
11621,V3 ,912.51718,1793.70538,-3107.89412,,11681,V3 ,906.26743,-2233.49777,-3095.68213
11621,V4 ,906.26743,2233.49777,-3095.68213,,11681,V4 ,912.51718,-1793.70538,-3107.89412
11621,V5 ,687.19315,2013.62616,-3216.37236,,11681,V5 ,687.19315,-2013.62616,-3216.37236
,,,,,,,,,,
11631,V1 ,474.34286,1122.44844,-3349.58436,,11671,V1 ,470.09351,-1562.35672,-3341.28595
11631,V2 ,470.09351,1562.35672,-3341.28595,,11671,V2 ,474.34286,-1122.44844,-3349.58436
11631,V3 ,919.34783,1122.44665,-3121.59966,,11671,V3 ,915.12814,-1562.35591,-3113.35997
11631,V4 ,915.12814,1562.35591,-3113.35997,,11671,V4 ,919.34783,-1122.44665,-3121.59966
11631,V5 ,695.07449,1342.41809,-3232.13349,,11671,V5 ,695.07449,-1342.41809,-3232.13349
,,,,,,,,,,
11641,V1 ,478.07546,451.21012,-3357.09706,,11661,V1 ,475.93413,-891.19219,-3352.91735
11641,V2 ,475.93413,891.19219,-3352.91735,,11661,V2 ,478.07546,-451.21012,-3357.09706
11641,V3 ,923.05272,451.20966,-3129.05845,,11661,V3 ,920.92696,-891.19182,-3124.90955
11641,V4 ,920.92696,891.19182,-3124.90955,,11661,V4 ,923.05272,-451.20966,-3129.05845
11641,V5 ,699.84877,671.20921,-3241.68128,,11661,V5 ,699.84877,-671.20921,-3241.68128
,,,,,,,,,,
11651,V1 ,,,--> ,,11651,V1 ,478.60799,-220.00351,-3358.21333
11651,V2 ,478.60799,220.00351,-3358.21333,,11651,V2 ,<-- ,,
11651,V3 ,,,--> ,,11651,V3 ,923.581,-220.00346,-3130.16682
11651,V4 ,923.581,220.00346,-3130.16682,,11651,V4 ,<-- ,,
11651,V5 ,701.44758,0,-3244.87895,,11651,V5 ,<-- ,,
,,,,,,,,,,
11711,V1 ,1125.89518,2464.98512,-2972.63182,,11791,V1 ,1117.60299,-2904.62702,-2956.76208
11711,V2 ,1117.60299,2904.62702,-2956.76208,,11791,V2 ,1125.89518,-2464.98512,-2972.63182
11711,V3 ,1568.95335,2464.97704,-2740.88713,,11791,V3 ,1560.73298,-2904.62455,-2725.15643
11711,V4 ,1560.73298,2904.62455,-2725.15643,,11791,V4 ,1568.95335,-2464.97704,-2740.88713
11711,V5 ,1343.62068,2684.83205,-2849.47965,,11791,V5 ,1343.62068,-2684.83205,-2849.47965
,,,,,,,,,,
11721,V1 ,1135.70221,1793.70677,-2992.31754,,11781,V1 ,1129.36894,-2233.50137,-2980.21069
11721,V2 ,1129.36894,2233.50137,-2980.21069,,11781,V2 ,1135.70221,-1793.70677,-2992.31754
11721,V3 ,1578.66813,1793.70179,-2760.39639,,11781,V3 ,1572.39287,-2233.49962,-2748.40171
11721,V4 ,1572.39287,2233.49962,-2748.40171,,11781,V4 ,1578.66813,-1793.70179,-2760.39639
11721,V5 ,1354.36921,2013.62499,-2870.97346,,11781,V5 ,1354.36921,-2013.62499,-2870.97346
,,,,,,,,,,
11731,V1 ,1142.48913,1122.44707,-3005.97435,,11771,V1 ,1138.21316,-1562.35748,-2997.80783
11731,V2 ,1138.21316,1562.35748,-2997.80783,,11771,V2 ,1142.48913,-1122.44707,-3005.97435
11731,V3 ,1585.38839,1122.44473,-2773.926,,11771,V3 ,1581.15307,-1562.35644,-2765.83803
11731,V4 ,1581.15307,1562.35644,-2765.83803,,11771,V4 ,1585.38839,-1122.44473,-2773.926
11731,V5 ,1362.15511,1342.41703,-2886.54329,,11771,V5 ,1362.15511,-1342.41703,-2886.54329
,,,,,,,,,,
11741,V1 ,1146.161,451.20963,-3013.41016,,11761,V1 ,1144.00691,-891.19211,-3009.29878
11741,V2 ,1144.00691,891.19211,-3009.29878,,11761,V2 ,1146.161,-451.20963,-3013.41016
11741,V3 ,1589.02308,451.20905,-2781.29116,,11761,V3 ,1586.88991,-891.19165,-2777.22019
11741,V4 ,1586.88991,891.19165,-2777.22019,,11761,V4 ,1589.02308,-451.20905,-2781.29116
11741,V5 ,1366.86908,671.20858,-2895.97051,,11761,V5 ,1366.86908,-671.20858,-2895.97051
,,,,,,,,,,
11751,V1 ,,,--> ,,11751,V1 ,1146.66853,-220.00338,-3014.5234
