Mirror-M2-horizontal-adjuster-points_r1-1,,,,,,,,,,
Originalhalfofreflector,,,,,Mirroradjuster,,,,,
Panel,Adjuster,x,y,z,,Panel2,Adjuster2,X2,Y2,Z2
12581,H3,-4723.53029,2103.69089,47.24763,,12521,H3,-4723.53029,-2103.69089,47.24763
,,,,,,,,,,
12591,H1,-4781.27714,2804.86711,-270.81095,,12511,H1,-4781.27714,-2804.86711,-270.81095
12591,H2,-4622.24882,2804.88448,203.22497,,12511,H2,-4622.24882,-2804.88448,203.22497
12591,H3,-4680.15702,2804.93011,32.79313,,12511,H3,-4680.15702,-2804.93011,32.79313
,,,,,,,,,,
12651,H1,-4652.11238,0,435.84864,,,,,,
12651,H2,-4486.03495,0,907.46108,,,,,,
12651,H3,-4546.48474,0,737.91374,,,,,,
,,,,,,,,,,
12661,H1,-4646.05507,701.21644,433.83257,,12641,H1,-4646.05507,-701.21644,433.83257
12661,H2,-4479.89415,701.21861,905.41561,,12641,H2,-4479.89415,-701.21861,905.41561
12661,H3,-4540.37521,701.23062,735.87954,,12641,H3,-4540.37521,-701.23062,735.87954
,,,,,,,,,,
12671,H1,-4627.78943,1402.43324,427.75001,,12631,H1,-4627.78943,-1402.43324,427.75001
12671,H2,-4461.38225,1402.44059,899.24624,,12631,H2,-4461.38225,-1402.44059,899.24624
12671,H3,-4521.95574,1402.46389,729.74327,,12631,H3,-4521.95574,-1402.46389,729.74327
,,,,,,,,,,
12681,H1,-4597.0322,2103.65192,417.50657,,12621,H1,-4597.0322,-2103.65192,417.50657
12681,H2,-4430.22798,2103.66708,888.86251,,12621,H2,-4430.22798,-2103.66708,888.86251
12681,H3,-4490.95078,2103.70143,719.41305,,12621,H3,-4490.95078,-2103.70143,719.41305
,,,,,,,,,,
12691,H1,-4553.31387,2804.87423,402.94577,,12611,H1,-4553.31387,-2804.87423,402.94577
12691,H2,-4385.9798,2804.89936,874.11391,,12611,H2,-4385.9798,-2804.89936,874.11391
12691,H3,-4446.90239,2804.94508,704.73622,,12611,H3,-4446.90239,-2804.94508,704.73622
,,,,,,,,,,
12751,H1,-4414.04914,0,1106.30211,,,,,,
12751,H2,-4239.59214,0,1574.87948,,,,,,
12751,H3,-4303.0948,0,1406.45161,,,,,,
,,,,,,,,,,
12761,H1,-4407.86741,701.2188,1104.2478,,12741,H1,-4407.86741,-701.2188,1104.2478
12761,H2,-4233.31046,701.22146,1572.78797,,12741,H2,-4233.31046,-701.22146,1572.78797
12761,H3,-4296.84996,701.23433,1404.37415,,12741,H3,-4296.84996,-701.23433,1404.37415
,,,,,,,,,,
12771,H1,-4389.23565,1402.438,1098.0494,,12731,H1,-4389.23565,-1402.438,1098.0494
12771,H2,-4214.38239,1402.4471,1566.47912,,12731,H2,-4214.38239,-1402.4471,1566.47912
12771,H3,-4278.03133,1402.47181,1398.10676,,12731,H3,-4278.03133,-1402.47181,1398.10676
,,,,,,,,,,
12781,H1,-4357.88751,2103.65904,1087.61819,,12721,H1,-4357.88751,-2103.65904,1087.61819
12781,H2,-4182.55143,2103.6781,1555.86745,,12721,H2,-4182.55143,-2103.6781,1555.86745
12781,H3,-4246.37901,2103.71403,1387.56284,,12721,H3,-4246.37901,-2103.71403,1387.56284
,,,,,,,,,,
12791,H1,-4313.37845,2804.88366,1072.80607,,12711,H1,-4313.37845,-2804.88366,1072.80607
12791,H2,-4137.38748,2804.9159,1540.80965,,12711,H2,-4137.38748,-2804.9159,1540.80965
12791,H3,-4201.45801,2804.96291,1372.59746,,12711,H3,-4201.45801,-2804.96291,1372.59746
,,,,,,,,,,
12851,H1,-4163.79938,0,1772.79612,,,,,,
12851,H2,-3980.4913,0,2237.98226,,,,,,
12851,H3,-4047.21936,0,2070.8058,,,,,,
,,,,,,,,,,
12861,H1,-4157.46896,701.22161,1770.69626,,12841,H1,-4157.46896,-701.22161,1770.69626
12861,H2,-3974.04769,701.22471,2235.83781,,12841,H2,-3974.04769,-701.22471,2235.83781
12861,H3,-4040.81713,701.23863,2068.67806,,12841,H3,-4040.81713,-701.23863,2068.67806
,,,,,,,,,,
