Mirror-M2-vertical-adjuster-points_r1-1,,,,,,,,,,
Original half of reflector,,,,,,Mirror adjuster,,,,
Panel,Adjuster,x,y,z,,Panel2,Adjuster2,X2,Y2,Z2
12451,V1,-5093.72455,220.00917,-916.31674,,12451,V1,<--,,
12451,V2,,,-->,,12451,V2,-5093.72455,-220.00917,-916.31674
12451,V3,-4943.26565,220.00929,-439.47244,,12451,V3,<--,,
12451,V4,,,-->,,12451,V4,-4943.26565,-220.00929,-439.47244
12451,V5,-5019.74413,0,-677.50059,,12451,V5,<--,,
,,,,,,,,,,
12461,V1,-5084.08569,921.1771,-919.46491,,12441,V1,-5091.54503,-481.22798,-917.10999
12461,V2,-5091.54503,481.22798,-917.10999,,12441,V2,-5084.08569,-921.1771,-919.46491
12461,V3,-4933.56638,921.17788,-442.63927,,12441,V3,-4941.07282,-481.22899,-440.26926
12461,V4,-4941.07282,481.22899,-440.26926,,12441,V4,-4933.56638,-921.17788,-442.63927
12461,V5,-5013.8236,701.2265,-679.47462,,12441,V5,-5013.8236,-701.2265,-679.47462
,,,,,,,,,,
12471,V1,-5062.45835,1622.27289,-926.61134,,12431,V1,-5077.50307,-1182.53628,-921.85693
12471,V2,-5077.50307,1182.53628,-921.85693,,12431,V2,-5062.45835,-1622.27289,-926.61134
12471,V3,-4911.81177,1622.2747,-449.82512,,12431,V3,-4926.94541,-1182.54044,-445.04222
12471,V4,-4926.94541,1182.54044,-445.04222,,12431,V4,-4911.81177,-1622.2747,-449.82512
12471,V5,-4995.95671,1402.45431,-685.43084,,12431,V5,-4995.95671,-1402.45431,-685.43084
,,,,,,,,,,
12481,V1,-5028.46357,2323.29028,-937.88252,,12421,V1,-5051.34164,-1883.92399,-930.64274
12481,V2,-5051.34164,1883.92399,-930.64274,,12421,V2,-5028.46357,-2323.29028,-937.88252
12481,V3,-4877.63691,2323.29328,-461.15208,,12421,V3,-4900.63603,-1883.93266,-453.87351
12481,V4,-4900.63603,1883.93266,-453.87351,,12421,V4,-4877.63691,-2323.29328,-461.15208
12481,V5,-4965.83064,2103.68538,-695.47347,,12421,V5,-4965.83064,-2103.68538,-695.47347
,,,,,,,,,,
12491,V1,-4981.52385,3024.21841,-953.47065,,12411,V1,-5012.59616,-2585.40422,-943.62218
12491,V2,-5012.59616,2585.40422,-943.62218,,12411,V2,-4981.52385,-3024.21841,-953.47065
12491,V3,-4830.48305,3024.22256,-476.80648,,12411,V3,-4861.6962,-2585.41788,-466.91289
12491,V4,-4861.6962,2585.41788,-466.91289,,12411,V4,-4830.48305,-3024.22256,-476.80648
12491,V5,-4922.9318,2804.92174,-709.77369,,12411,V5,-4922.9318,-2804.92174,-709.77369
,,,,,,,,,,
12551,V1,-4878.10347,220.00945,-238.55288,,12551,V1,<--,,
12551,V2,,,-->,,12551,V2,-4878.10347,-220.00945,-238.55288
12551,V3,-4719.98089,220.00966,235.80639,,12551,V3,<--,,
12551,V4,,,-->,,12551,V4,-4719.98089,-220.00966,235.80639
12551,V5,-4800.31624,0,-0.94875,,12551,V5,<--,,
,,,,,,,,,,
12561,V1,-4868.3894,921.17766,-241.79193,,12541,V1,-4875.8832,-481.22932,-239.29181
12561,V2,-4875.8832,481.22932,-239.29181,,12541,V2,-4868.3894,-921.17766,-241.79193
12561,V3,-4710.16534,921.17906,232.53397,,12541,V3,-4717.73693,-481.23107,235.06058
12561,V4,-4717.73693,481.23107,235.06058,,12541,V4,-4710.16534,-921.17906,232.53397
12561,V5,-4794.32411,701.22873,-2.9457,,12541,V5,-4794.32411,-701.22873,-2.9457
,,,,,,,,,,
12571,V1,-4846.58182,1622.27256,-249.06604,,12531,V1,-4861.68598,-1182.54062,-244.01844
12571,V2,-4861.68598,1182.54062,-244.01844,,12531,V2,-4846.58182,-1622.27256,-249.06604
12571,V3,-4688.1387,1622.27592,225.18755,,12531,V3,-4703.3926,-1182.54794,230.28618
12571,V4,-4703.3926,1182.54794,230.28618,,12531,V4,-4688.1387,-1622.27592,225.18755
12571,V5,-4776.24888,1402.45928,-8.96947,,12531,V5,-4776.24888,-1402.45928,-8.96947
,,,,,,,,,,
12581,V1,-4812.32277,2323.28814,-260.4973,,12521,V1,-4835.26782,-1883.93229,-252.81117
12581,V2,-4835.26782,1883.93229,-252.81117,,12521,V2,-4812.32277,-2323.28814,-260.4973
12581,V3,-4653.55809,2323.29403,213.64991,,12521,V3,-4676.71413,-1883.94813,221.40806
12581,V4,-4676.71413,1883.94813,221.40806,,12521,V4,-4653.55809,-2323.29403,213.64991
12581,V5,-4745.79543,2103.69347,-19.11842,,12521,V5,-4745.79543,-2103.69347,-19.11842
,,,,,,,,,,
12591,V1,-4765.06272,3024.214,-276.27119,,12511,V1,-4796.18662,-2585.41691,-265.81488
12591,V2,-4796.18662,2585.41691,-265.81488,,12511,V2,-4765.06272,-3024.214,-276.27119
12591,V3,-4605.89449,3024.2228,197.74223,,12511,V3,-4637.2766,-2585.4433,208.28687
12591,V4,-4637.2766,2585.4433,208.28687,,12511,V4,-4605.89449,-3024.2228,197.74223
12591,V5,-4702.47656,2804.93323,-33.55497,,12511,V5,-4702.47656,-2804.93323,-33.55497
,,,,,,,,,,
12651,V1,-4651.52377,220.00991,435.63016,,12651,V1,<--,,
12651,V2,,,-->,,12651,V2,-4651.52377,-220.00991,435.63016
12651,V3,-4485.43118,220.01018,907.25971,,12651,V3,<--,,
12651,V4,,,-->,,12651,V4,-4485.43118,-220.01018,907.25971
12651,V5,-4569.79063,0,671.90711,,12651,V5,<--,,
,,,,,,,,,,
12661,V1,-4641.67934,921.1785,432.27817,,12641,V1,-4649.24561,-481.23144,434.94566
12661,V2,-4649.24561,481.23144,434.94566,,12641,V2,-4641.67934,-921.1785,432.27817
12661,V3,-4475.45204,921.18044,903.86079,,12641,V3,-4483.12061,-481.23384,906.56518
12661,V4,-4483.12061,481.23384,906.56518,,12641,V4,-4475.45204,-921.18044,903.86079
12661,V5,-4563.69309,701.23188,669.87655,,12641,V5,-4563.69309,-701.23188,669.87655
,,,,,,,,,,
12671,V1,-4619.56509,1622.27176,424.83175,,12631,V1,-4634.80412,-1182.54752,430.21601
12671,V2,-4634.80412,1182.54752,430.21601,,12631,V2,-4619.56509,-1622.27176,424.83175
12671,V3,-4453.04348,1622.2765,896.31138,,12631,V3,-4468.48141,-1182.55761,901.76747
12671,V4,-4468.48141,1182.55761,901.76747,,12631,V4,-4453.04348,-1622.2765,896.31138
12671,V5,-4545.30861,1402.46602,663.75206,,12631,V5,-4545.30861,-1402.46602,663.75206
,,,,,,,,,,
12681,V1,-4584.84537,2323.28394,413.17389,,12621,V1,-4607.96903,-1883.94573,421.36962
12681,V2,-4607.96903,1883.94573,421.36962,,12621,V2,-4584.84537,-2323.28394,413.17389
12681,V3,-4417.88417,2323.29246,884.49922,,12621,V3,-4441.29282,-1883.96793,892.79811
12681,V4,-4441.29282,1883.96793,892.79811,,12621,V4,-4417.88417,-2323.29246,884.49922
12681,V5,-4514.35999,2103.70412,653.44123,,12621,V5,-4514.35999,-2103.70412,653.44123
,,,,,,,,,,
12691,V1,-4537.00066,3024.20514,397.12663,,12611,V1,-4568.32195,-2585.43812,408.27185
12691,V2,-4568.32195,2585.43812,408.27185,,12611,V2,-4537.00066,-3024.20514,397.12663
12691,V3,-4369.47396,3024.21826,868.25279,,12611,V3,-4401.15259,-2585.47604,879.52777
12691,V4,-4401.15259,2585.47604,879.52777,,12611,V4,-4369.47396,-3024.21826,868.25279
12691,V5,-4470.38673,2804.94808,638.79055,,12611,V5,-4470.38673,-2804.94808,638.79055
,,,,,,,,,,
12751,V1,-4413.45306,220.0105,1106.06773,,12751,V1,<--,,
12751,V2,,,-->,,12751,V2,-4413.45306,-220.0105,1106.06773
12751,V3,-4238.97832,220.01079,1574.66344,,12751,V3,<--,,
12751,V4,,,-->,,12751,V4,-4238.97832,-220.01079,1574.66344
12751,V5,-4327.57676,0,1340.87203,,12751,V5,<--,,
,,,,,,,,,,
12761,V1,-4403.4344,921.17956,1102.5821,,12741,V1,-4411.10114,-481.23422,1105.44023
12761,V2,-4411.10114,481.23422,1105.44023,,12741,V2,-4403.4344,-921.17956,1102.5821
12761,V3,-4228.79905,921.18197,1571.11857,,12741,V3,-4236.58673,-481.23716,1574.02292
12761,V4,-4236.58673,481.23716,1574.02292,,12741,V4,-4228.79905,-921.18197,1571.11857
12761,V5,-4321.34624,701.23577,1338.79916,,12741,V5,-4321.34624,-701.23577,1338.79916
,,,,,,,,,,
12771,V1,-4380.90985,1622.27053,1094.92377,,12731,V1,-4396.33999,-1182.55658,1100.69071
12771,V2,-4396.33999,1182.55658,1100.69071,,12731,V2,-4380.90985,-1622.27053,1094.92377
12771,V3,-4205.92021,1622.2765,1563.32894,,12731,V3,-4221.58738,-1182.56907,1569.18658
12771,V4,-4221.58738,1182.56907,1569.18658,,12731,V4,-4205.92021,-1622.2765,1563.32894
12771,V5,-4302.56957,1402.47419,1332.54669,,12731,V5,-4302.56957,-1402.47419,1332.54669
,,,,,,,,,,
12781,V1,-4345.56456,2323.27794,1082.98056,,12721,V1,-4368.95198,-1883.96362,1091.75394
12781,V2,-4368.95198,1883.96362,1091.75394,,12721,V2,-4345.56456,-2323.27794,1082.98056
12781,V3,-4170.03892,2323.28887,1551.18636,,12721,V3,-4193.77027,-1883.99146,1560.09169
12781,V4,-4193.77027,1883.99146,1560.09169,,12721,V4,-4170.03892,-2323.28887,1551.18636
12781,V5,-4270.9855,2103.71692,1322.02757,,12721,V5,-4270.9855,-2103.71692,1322.02757
,,,,,,,,,,
12791,V1,-4296.90693,3024.19234,1066.58155,,12711,V1,-4328.54034,-2585.46694,1078.50484
12791,V2,-4328.54034,2585.46694,1078.50484,,12711,V2,-4296.90693,-3024.19234,1066.58155
12791,V3,-4120.6789,3024.20954,1534.52501,,12711,V3,-4152.75165,-2585.51538,1546.6175
12791,V4,-4152.75165,2585.51538,1546.6175,,12711,V4,-4120.6789,-3024.20954,1534.52501
12791,V5,-4226.15703,2804.96595,1307.09621,,12711,V5,-4226.15703,-2804.96595,1307.09621
,,,,,,,,,,
12851,V1,-4163.1945,220.01118,1772.54383,,12851,V1,<--,,
12851,V2,,,-->,,12851,V2,-4163.1945,-220.01118,1772.54383
12851,V3,-3979.86621,220.01152,2237.74992,,12851,V3,<--,,
12851,V4,,,-->,,12851,V4,-3979.86621,-220.01152,2237.74992
12851,V5,-4072.94372,0,2005.70347,,12851,V5,<--,,
,,,,,,,,,,
12861,V1,-4152.96794,921.18079,1768.90544,,12841,V1,-4160.75385,-481.23755,1771.97782
12861,V2,-4160.75385,481.23755,1771.97782,,12841,V2,-4152.96794,-921.18079,1768.90544
12861,V3,-3969.45851,921.18363,2234.04075,,12841,V3,-3977.37965,-481.24097,2237.16791
12861,V4,-3977.37965,481.24097,2237.16791,,12841,V4,-3969.45851,-921.18363,2234.04075
12861,V5,-4066.5577,701.24024,2003.58123,,12841,V5,-4066.5577,-701.24024,2003.58123
,,,,,,,,,,
12871,V1,-4129.94943,1622.26893,1761.00029,,12831,V1,-4145.6094,-1182.56749,1767.19719
12871,V2,-4145.6094,1182.56749,1767.19719,,12831,V2,-4129.94943,-1622.26893,1761.00029
12871,V3,-3946.03677,1622.27606,2225.97729,,12831,V3,-3961.96363,-1182.58215,2232.28246
12871,V4,-3961.96363,1182.58215,2232.28246,,12831,V4,-3946.03677,-1622.27606,2225.97729
12871,V5,-4047.32036,1402.48357,1997.17839,,12831,V5,-4047.32036,-1402.48357,1997.17839
,,,,,,,,,,
12881,V1,-4093.84129,2323.2704,1748.72006,,12821,V1,-4117.55321,-1883.98543,1758.14214
12881,V2,-4117.55321,1883.98543,1758.14214,,12821,V2,-4093.84129,-2323.2704,1748.72006
12881,V3,-3909.31092,2323.28367,2213.45357,,12821,V3,-3933.41497,-1884.01852,2223.03519
12881,V4,-3933.41497,1884.01852,2223.03519,,12821,V4,-3909.31092,-2323.28367,2213.45357
12881,V5,-4014.98227,2103.7317,1986.41197,,12821,V5,-4014.98227,-2103.7317,1986.41197
,,,,,,,,,,
12951,V1,-3899.94265,220.01194,2434.80905,,12951,V1,<--,,
12951,V2,,,-->,,12951,V2,-3899.94265,-220.01194,2434.80905
12951,V3,-3707.26172,220.01241,2896.22308,,12951,V3,<--,,
12951,V4,,,-->,,12951,V4,-3707.26172,-220.01241,2896.22308
12951,V5,-3805.06997,0,2666.12854,,12951,V5,<--,,
,,,,,,,,,,
12961,V1,-3889.48149,921.18219,2430.99977,,12941,V1,-3897.39841,-481.24137,2434.31049
12961,V2,-3897.39841,481.24137,2434.31049,,12941,V2,-3889.48149,-921.18219,2430.99977
12961,V3,-3696.60086,921.18547,2892.33113,,12941,V3,-3704.66541,-481.24528,2895.70531
12961,V4,-3704.66541,481.24528,2895.70531,,12941,V4,-3696.60086,-921.18547,2892.33113
12961,V5,-3798.50848,701.24529,2663.95083,,12941,V5,-3798.50848,-701.24529,2663.95083
,,,,,,,,,,
12971,V1,-3865.89847,1622.26707,2422.81593,,12931,V1,-3881.81376,-1182.58011,2429.49163
12971,V2,-3881.81376,1182.58011,2429.49163,,12931,V2,-3865.89847,-1622.26707,2422.81593
12971,V3,-3672.56904,1622.27545,2883.96051,,12931,V3,-3688.77795,-1182.59699,2890.7626
12971,V4,-3688.77795,1182.59699,2890.7626,,12931,V4,-3672.56904,-1622.27545,2883.96051
12971,V5,-3778.74898,1402.49423,2657.37783,,12931,V5,-3778.74898,-1402.49423,2657.37783
