Mirror-M1-horizontal-adjuster-points_r1-1,,,,,,,,,,
Originalhalfofreflector,,,,,,Mirroradjuster,,,,
Panel,Adjuster,x,y,z,,Panel2,Adjuster2,X2,Y2,Z2
11521,H1,-206.82999,2013.61457,-3667.09426,,11581,H1,-206.82999,-2013.61457,-3667.09426
11521,H2,240.33979,2013.61343,-3443.39985,,11581,H2,240.33979,-2013.61343,-3443.39985
11521,H3,79.51975,2013.62516,-3524.2519,,11581,H3,79.51975,-2013.62516,-3524.2519
,,,,,,,,,,
11531,H1,-198.87445,1342.41043,-3683.00488,,11571,H1,-198.87445,-1342.41043,-3683.00488
11531,H2,248.26658,1342.40974,-3459.25301,,11571,H2,248.26658,-1342.40974,-3459.25301
11531,H3,87.45915,1342.41774,-3540.13015,,11571,H3,87.45915,-1342.41774,-3540.13015
,,,,,,,,,,
11541,H1,-194.0505,671.20538,-3692.6524,,11561,H1,-194.0505,-671.20538,-3692.6524
11541,H2,253.07059,671.20516,-3468.86069,,11561,H2,253.07059,-671.20516,-3468.86069
11541,H3,92.27167,671.20917,-3549.75474,,11561,H3,92.27167,-671.20917,-3549.75474
,,,,,,,,,,
11551,H1,-192.43415,0,-3695.88491,,,,,,
11551,H2,254.67985,0,-3472.07903,,,,,,
11551,H3,93.88393,0,-3552.97903,,,,,,
,,,,,,,,,,
11611,H1,453.58194,2684.81891,-3308.15378,,11691,H1,453.58194,-2684.81891,-3308.15378
11611,H2,898.71806,2684.8155,-3080.43939,,11691,H2,898.71806,-2684.8155,-3080.43939
11611,H3,738.62667,2684.83085,-3162.72479,,11691,H3,738.62667,-2684.83085,-3162.72479
,,,,,,,,,,
11621,H1,464.48497,2013.6151,-3329.95635,,11681,H1,464.48497,-2013.6151,-3329.95635
11621,H2,909.55264,2013.61277,-3102.10821,,11681,H2,909.55264,-2013.61277,-3102.10821
11621,H3,749.48859,2013.62456,-3184.44679,,11681,H3,749.48859,-2013.62456,-3184.44679
,,,,,,,,,,
11631,H1,472.39158,1342.41035,-3345.76693,,11671,H1,472.39158,-1342.41035,-3345.76693
11631,H2,917.40475,1342.40913,-3117.81236,,11671,H2,917.40475,-1342.40913,-3117.81236
11631,H3,757.36217,1342.41704,-3200.19267,,11671,H3,757.36217,-1342.41704,-3200.19267
,,,,,,,,,,
11641,H1,477.18222,671.20516,-3355.34663,,11661,H1,477.18222,-671.20516,-3355.34663
11641,H2,922.16043,671.20478,-3127.32385,,11661,H2,922.16043,-671.20478,-3127.32385
11641,H3,762.13153,671.2087,-3209.73069,,11661,H3,762.13153,-671.2087,-3209.73069
,,,,,,,,,,
11651,H1,478.78672,0,-3358.55529,,,,,,
11651,H2,923.75291,0,-3130.50905,,,,,,
11651,H3,763.72871,0,-3212.92498,,,,,,
,,,,,,,,,,
11711,H1,1121.90768,2684.81941,-2964.99439,,11791,H1,1121.90768,-2684.81941,-2964.99439
11711,H2,1564.9957,2684.81434,-2733.32001,,11791,H2,1564.9957,-2684.81434,-2733.32001
11711,H3,1405.63922,2684.82966,-2817.01981,,11791,H3,1405.63922,-2684.82966,-2817.01981
,,,,,,,,,,
11721,H1,1132.70357,2013.61485,-2986.57897,,11781,H1,1132.70357,-2013.61485,-2986.57897
11721,H2,1575.69195,2013.61162,-2754.71413,,11781,H2,1575.69195,-2013.61162,-2754.71413
11721,H3,1416.37364,2013.62321,-2838.48656,,11781,H3,1416.37364,-2013.62321,-2838.48656
,,,,,,,,,,
